City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,rio grande,-32.035,-52.0986,29.06,68,76,6.06,BR,1706994996
82,langfang,39.5097,116.6947,-4.08,45,52,1.16,CN,1706995155
83,thompson,55.7435,-97.8558,-0.91,100,100,3.09,CA,1706995155
84,eydhafushi,5.1033,73.0708,28.14,76,98,5.1,MV,1706995156
85,markovo,57.3206,107.0881,-31.2,100,39,0.46,RU,1706995157
86,awjilah,29.1081,21.2869,13.08,36,2,2.59,LY,1706995158
87,remire-montjoly,4.9167,-52.2667,29.02,74,20,5.14,GF,1706995159
88,bubaque,11.2833,-15.8333,26.22,78,0,4.95,GW,1706995096
89,ilulissat,69.2167,-51.1,-20.99,49,45,3.6,GL,1706995160
90,vilyuysk,63.7553,121.6247,-27.78,98,96,2.24,RU,1706995161
91,margate,51.3813,1.3862,11.6,86,100,0.45,GB,1706994933
92,matthew town,20.95,-73.6667,24.52,63,15,1.51,BS,1706995163
93,callao,-12.0667,-77.15,28.16,61,20,5.66,PE,1706995164
94,guerrero negro,27.9769,-114.0611,17.55,54,0,7.24,MX,1706995165
95,piriapolis,-34.8682,-55.2744,33.09,40,40,3.09,UY,1706995166
96,aykhal,66.0,111.5,-26.82,67,97,1.61,RU,1706995166
97,mount isa,-20.7333,139.5,23.87,88,100,7.2,AU,1706995167
98,ceeldheer,3.8488,47.1806,25.41,82,97,6.62,SO,1706995168
99,spring creek,40.7266,-115.5859,1.56,73,98,2.24,US,1706995080
100,port elizabeth,-33.918,25.5701,22.95,96,100,1.34,ZA,1706995169
101,port augusta,-32.5,137.7667,26.53,36,97,0.58,AU,1706995079
102,san antonio de pale,-1.4014,5.6325,28.19,75,99,2.91,GQ,1706995171
103,howard springs,-12.497,131.047,27.95,88,100,3.97,AU,1706995172
104,las heras,-46.5419,-68.9359,21.2,11,41,4.68,AR,1706995173
105,gulf shores,30.246,-87.7008,18.03,68,0,6.69,US,1706995100
106,soe,-9.8607,124.284,19.43,92,90,1.52,ID,1706995174
107,dolores,-36.3132,-57.6792,29.06,28,38,10.86,AR,1706995175
108,vila velha,-20.3297,-40.2925,27.97,88,0,2.06,BR,1706995176
109,bamboo flat,11.7,92.7167,23.05,94,29,1.03,IN,1706995177
110,nyagan,62.1406,65.3936,-22.68,100,99,1.59,RU,1706995177
111,bowen,-20.0167,148.2333,26.67,71,100,3.59,AU,1706995178
112,irkutsk,52.2978,104.2964,-18.73,77,0,2.0,RU,1706995179
113,aasiaat,68.7098,-52.8699,-31.03,98,72,2.13,GL,1706995180
114,wailua homesteads,22.0669,-159.378,23.24,54,100,11.83,US,1706995180
115,kotlas,61.2611,46.6556,-13.86,98,95,1.34,RU,1706995181
116,kavaratti,10.5669,72.642,26.68,70,55,2.16,IN,1706995182
117,college,64.8569,-147.8028,-29.5,69,100,0.0,US,1706995182
118,palikir - national government center,6.9248,158.1611,24.41,100,100,0.0,FM,1706995183
119,bandar lampung,-5.4254,105.258,23.73,93,100,1.21,ID,1706995184
120,st. john's,47.5649,-52.7093,-1.17,89,100,7.6,CA,1706995012
121,new norfolk,-42.7826,147.0587,15.51,94,100,0.45,AU,1706995185
122,flying fish cove,-10.4217,105.6791,22.82,100,71,0.0,CX,1706995186
123,bandarbeyla,9.4942,50.8122,24.69,82,74,6.19,SO,1706995187
124,newtown,-33.8984,151.1775,24.32,79,0,3.09,AU,1706995187
125,west island,-12.1568,96.8225,26.99,89,75,4.12,CC,1706995188
126,broome,42.2506,-75.833,3.17,74,0,3.09,US,1706995189
127,upata,8.0086,-62.3989,35.21,29,82,3.14,VE,1706995190
128,al jawf,29.5,38.75,9.46,52,0,2.97,SA,1706995190
129,bardai,11.65,7.2333,19.49,16,4,6.01,NG,1706995191
130,udachny,66.4167,112.4,-31.01,86,74,1.33,RU,1706995192
131,hermanus,-34.4187,19.2345,24.33,81,80,3.58,ZA,1706995193
132,north ward,-19.2454,146.8075,27.95,78,75,3.6,AU,1706995193
133,vorkuta,67.5,64.0,-21.21,95,87,2.5,RU,1706995195
134,invercargill,-46.4,168.35,18.34,60,93,7.6,NZ,1706995185
135,bodden town,19.2833,-81.25,27.21,70,20,4.63,KY,1706995196
136,sitka,57.0531,-135.33,2.94,87,100,3.09,US,1706995197
137,hawaiian paradise park,19.5933,-154.9731,23.73,69,100,7.2,US,1706995198
138,keelung,25.1283,121.7419,19.76,95,100,5.0,TW,1706995199
139,labrador city,52.9463,-66.9114,-12.05,46,20,0.0,CA,1706995199
140,zonguldak,41.25,31.8333,0.71,84,100,1.92,TR,1706995200
141,swan hill,-35.3378,143.5544,25.86,26,82,2.48,AU,1706995201
142,papatowai,-46.5619,169.4708,15.74,55,100,7.24,NZ,1706995202
143,novomoskovs'k,48.6167,35.2,3.45,95,100,7.19,UA,1706995203
144,klyuchi,52.2667,79.1667,-5.63,77,100,6.21,RU,1706995204
145,luderitz,-26.6481,15.1594,19.17,91,1,2.54,NA,1706995205
146,robertsport,6.7533,-11.3686,27.41,86,52,4.23,LR,1706995207
147,ternate,0.8,127.4,26.06,81,45,3.54,ID,1706995208
148,manado,1.487,124.8455,22.43,100,20,1.03,ID,1706995209
149,howrah,22.5892,88.3103,20.0,88,0,1.54,IN,1706995211
150,aldama,22.9167,-98.0667,34.72,17,0,0.93,MX,1706995212
151,saint-pierre,-21.3393,55.4781,23.82,73,0,5.14,RE,1706995215
152,punta arenas,-53.15,-70.9167,13.06,50,75,7.72,CL,1706995120
153,massawa,15.6097,39.45,24.17,66,96,3.62,ER,1706995220
154,pisco,-13.7,-76.2167,28.03,61,20,5.66,PE,1706995221
155,nova sintra,14.8667,-24.7167,21.35,73,86,5.3,CV,1706995222
156,lihue,21.9789,-159.3672,23.58,53,100,11.83,US,1706995222
157,mombetsu,44.3525,143.3525,-7.42,94,100,0.95,JP,1706995223
158,tura,25.5198,90.2201,11.6,34,0,1.4,IN,1706995224
159,katsuura,35.1333,140.3,6.01,90,100,5.61,JP,1706995225
160,tagta,41.6504,59.9164,-4.03,100,0,3.09,TM,1706995226
161,dragor,55.5946,12.6664,5.43,78,75,6.69,DK,1706995227
162,ugoofaaru,5.6667,73.0,28.09,75,86,5.5,MV,1706995228
163,corner brook,48.9667,-57.9484,-6.91,95,100,3.42,CA,1706995229
164,papao,-17.75,-149.55,29.82,80,46,5.1,PF,1706995231
165,bafoulabe,13.8065,-10.8321,29.37,11,75,2.62,ML,1706995233
166,luanda,-8.8368,13.2343,28.0,78,0,2.57,AO,1706995073
167,magadan,59.5667,150.8,-19.21,76,100,4.08,RU,1706995235
168,lewistown,40.5992,-77.5714,9.8,68,0,4.12,US,1706995235
169,nar'yan-mar,67.6713,53.087,-13.27,84,21,7.15,RU,1706995236
170,pineville,31.3224,-92.4343,11.85,96,100,4.12,US,1706994967
171,tual,-5.6667,132.75,28.7,78,100,4.39,ID,1706995238
172,la passe,45.5549,-0.8967,7.77,92,43,3.0,FR,1706995239
173,leava,-14.3,-178.1667,28.53,75,84,1.27,WF,1706995240
174,laguna,38.421,-121.4238,15.03,66,20,2.06,US,1706995240
175,qaqortoq,60.7167,-46.0333,-19.76,67,10,4.37,GL,1706995241
176,port alfred,-33.5906,26.891,23.43,92,87,0.89,ZA,1706995242
177,al fuwayliq,26.4432,43.2534,10.26,33,76,4.88,SA,1706995243
178,chinde,26.8418,88.0763,8.06,66,80,1.19,NP,1706995244
179,turpan,42.9333,89.1667,-1.26,55,7,0.82,CN,1706995244
180,kalmunai,7.4167,81.8167,24.53,87,95,2.95,LK,1706995245
181,andovoranto,-18.95,49.1,24.12,85,58,1.82,MG,1706995246
182,kogalym,62.2654,74.4791,-21.06,100,96,3.79,RU,1706995247
183,whitehorse,60.7161,-135.0538,-24.39,55,20,2.06,CA,1706995249
184,malango,-2.9627,119.9001,20.59,97,100,0.61,ID,1706995250
185,hithadhoo,-0.6,73.0833,28.13,76,88,2.56,MV,1706995251
186,lebu,-37.6167,-73.65,16.81,69,1,10.69,CL,1706995253
